qualtrics_id,school_code,school_name_anon,progress,duration_min,birth_country,age_cat,age,female,male,educ_mother,educ_father,educ_parent_max,has_computer,has_internet,digital_comfort,platform_use,classroom_section,math_grade_prev,like_math,like_communication,rank_math,rank_communication,mathconf_learn,mathconf_exam,mathconf_help_peers,mathconf_growth,lab_productive,lab_preferred_hours,hours_school,hours_study,hours_friends,hours_entertainment,hours_housework,hours_unpaid_work,hours_paid_work,hours_sleep,hours_sport,math_study_weekly,study_context,digital_tools_used,grit_challenge,grit_quit_game,grit_lose_interest,grit_hardwork,grit_avg,mindset_fixed1,mindset_fixed2,mindset_avg,locus_luck,locus_fate,locus_prepared,locus_plans,locus_avg,efficacy_hard_problems,efficacy_effort,efficacy_calm,efficacy_solutions,efficacy_trouble,efficacy_avg,math_enjoy,math_wish_no,math_like_problems,math_does_well,math_harder_than_peers,math_worry_grades,math_nervous_exams,math_useful,math_enjoy_avg,math_anxiety_avg,math_selfconcept_avg,meta_study_allocation,meta_when_stuck,meta_hint_use,meta_review_errors,meta_self_awareness,meta_after_mistake,meta_ai_use,meta_expected_exam,meta_actual_exam,barrier_finish_school,info_postsecondary,plan_after_school,knows_career,career_first_choice,institution_first_choice,plan_feasibility,plan_talks_with,parent_educ_expectation,enrolled_academy,belief_univ_transition,factors_career_choice,action_3months,plans_higher_ed,salary_secondary,salary_technical,salary_university,informal_secondary,informal_technical,informal_university,preferred_sector,knows_jobs_sector,barrier_money,barrier_work_family,barrier_parent_ideas,barrier_grades,barrier_info_careers,barrier_info_institution,barrier_family_resp,knows_scholarship,knows_beca18,knows_alt_training,est_years_technical,est_years_university,time_pref_100v150,time_pref_100v300,risk_pref_100v250,risk_pref_100v500,patient_low,patient_high,risk_seeking_low,risk_seeking_high,belong_outsider,belong_fits_in,belonging_avg,num_close_friends,friend1_recess,friend1_homework,friend1_future_talk,friend1_whatsapp,friend2_recess,friend2_homework,friend2_future_talk,friend2_whatsapp,friend3_recess,friend3_homework,friend3_future_talk,friend3_whatsapp,friend4_recess,friend4_homework,friend4_future_talk,friend4_whatsapp,friend5_recess,friend5_homework,friend5_future_talk,friend5_whatsapp,correct_a1,qbl_v5_a1,correct_a2,qbl_v5_a2,correct_a7,qbl_v5_a7,correct_a8,qbl_v5_a8,correct_a8m,qbl_v5_a8m,correct_a4,qbl_v5_a4,correct_a9s,qbl_v5_a9s,correct_a3,qbl_v5_a3,correct_a6,qbl_v5_a6,correct_a5,qbl_v5_a5,score_total_baseline,score_pct_baseline
R_100001abc3846,3004070,School_01,100,36.900002,1,2.0,16.0,0,0,6,1.0,6,1,1,1,3,B,3,4,4,4,7,1,1,1,2,4,4,6.0,2.0,2.5,3.5,3.0,0.5,1.5,8.5,0.0,1,1,1,2,1,5,3,2.75,6,6,1.0,3,3,2,1,2.25,1,1,4,1,1,1.6,5,2,2,3,5,3,4,3,3.6666667,3.5,2.0,1,1,2,3,1,1,2,2,5,1,4,2,1,,1,1,6,4,0,6,3,,1,1182.0,,2038.0,4,10,9,7,2,4,3,1,3,5,5,4,2,1,2,2,5,3,1,1,1,0,0,0,0,3,3,3.0,3,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,2,1,1,0,1,1,2,1,1,1,1,0,1,0,1,1,4,0,1,5,0.5
R_100002abc9514,3004070,School_01,100,46.099998,1,2.0,16.0,1,1,7,6.0,7,0,0,4,3,C,2,4,1,4,7,4,4,1,2,2,4,7.5,0.5,4.0,4.0,2.0,0.0,0.5,7.5,0.5,3,1,3,1,4,2,2,2.25,4,5,2.5,3,5,2,3,2.25,1,1,1,2,1,1.2,3,5,4,3,5,1,4,3,2.6666667,2.5,2.0,1,1,3,1,1,1,1,2,1,1,4,3,3,,3,4,5,4,1,10,8,,1,,1695.0,,8,9,7,3,2,1,4,4,4,4,4,5,2,2,2,3,5,2,2,2,1,1,1,1,0,1,4,4.5,6,0,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,0,0,1,0,1,2,1,1,0,1,0,1,1,1,1,1,0,3,0,4,0,1,0,4,4,0.40000001
R_100003abc3266,3004070,School_01,100,17.200001,1,3.0,17.0,0,0,6,8.0,8,0,1,1,1,D,1,2,3,5,7,4,1,1,4,4,4,6.0,2.5,2.0,4.0,1.5,2.0,0.0,6.5,1.0,3,2,3,3,1,1,3,4.0,3,2,4.5,3,5,3,5,3.0,1,2,3,2,2,2.0,3,2,3,1,5,2,5,1,3.3333333,3.5,1.0,4,1,1,1,1,4,2,1,3,1,5,2,1,,5,3,2,2,0,6,6,,1,1158.0,1761.0,1825.0,5,6,6,2,3,4,5,4,4,5,4,1,1,1,2,2,6,2,2,1,1,1,1,0,0,3,2,2.5,4,0,1,0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,1,2,1,1,1,2,0,1,1,1,0,4,0,3,1,1,1,4,1,1,7,0.69999999
R_100004abc1379,3004070,School_01,100,30.299999,1,2.0,16.0,1,1,2,7.0,7,0,1,5,4,E,1,3,1,1,4,4,1,4,3,5,8,8.5,2.0,2.5,2.5,1.5,0.0,2.0,8.5,1.0,2,4,5,2,2,3,2,2.75,6,5,1.5,2,5,4,1,2.5,2,4,1,2,2,2.2,3,5,2,4,2,3,4,4,2.0,3.5,4.0,4,4,3,4,3,4,3,4,3,2,4,4,1,,5,3,5,3,0,5,8,,1,1208.0,1535.0,,4,1,3,4,2,2,2,3,2,4,3,5,2,1,2,3,7,1,1,2,1,0,0,1,0,2,5,4.5,6,0,1,1,1,0,0,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,2,1,1,1,2,0,2,1,1,1,1,1,3,1,1,1,4,1,1,9,0.89999998
R_100005abc1964,3004070,School_01,100,27.700001,1,1.0,15.0,0,0,2,8.0,8,0,0,3,4,A,1,4,1,3,6,1,3,1,1,5,1,7.5,2.5,3.0,4.0,0.5,0.5,0.0,9.5,1.0,5,1,1,3,4,2,3,3.0,4,1,4.5,3,2,3,2,3.0,2,2,2,2,4,2.4000001,4,2,1,3,4,1,3,4,3.0,2.0,2.5,3,1,2,2,3,4,1,4,2,1,5,3,3,,3,5,5,4,0,5,2,,1,1265.0,1202.0,3229.0,1,7,6,7,3,5,4,5,3,3,4,2,1,1,2,2,7,3,1,2,1,0,0,1,0,1,3,4.0,6,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,4,1,2,0,1,0,4,0,3,0,1,0,3,0,1,1,1,2,0.2
R_100006abc3141,3004070,School_01,100,38.400002,1,4.0,18.0,0,0,9,10.0,10,1,1,1,4,B,2,4,4,4,10,1,4,4,4,3,2,7.0,2.0,1.5,2.0,2.5,0.0,0.0,7.0,1.0,1,1,1,4,4,3,4,3.25,1,2,5.5,4,2,2,3,2.75,4,3,1,4,3,3.0,3,4,4,3,3,2,1,1,3.0,1.5,3.0,2,3,1,2,3,2,2,4,3,1,5,5,2,,2,5,3,2,0,3,3,,0,,2230.0,,3,3,2,8,1,5,2,5,2,4,5,1,2,2,1,4,7,1,3,3,2,0,0,0,1,1,4,4.5,5,0,0,1,0,1,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,3,1,1,1,4,1,1,10,1.0
R_100007abc4992,3004070,School_01,100,32.5,1,1.0,15.0,0,0,8,12.0,12,1,1,2,4,C,4,1,1,9,9,2,4,2,3,2,6,7.0,2.0,2.0,6.5,2.0,1.0,0.5,7.0,2.0,5,3,1,3,1,1,5,4.5,5,2,3.5,4,5,1,2,1.5,3,2,4,4,1,2.8,1,1,5,3,1,5,1,3,3.6666667,3.0,4.0,3,3,4,3,3,2,2,2,4,1,5,5,1,,3,2,3,4,0,4,1,,0,109.0,1323.0,1278.0,6,7,4,7,1,3,2,5,2,2,1,1,3,1,1,3,4,2,3,2,1,1,0,1,0,3,1,2.0,3,0,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,1,0,1,0,2,0,1,0,1,1,1,1,3,0,1,0,3,0,1,2,0.2
R_100008abc4942,3004070,School_01,100,7.8000002,1,1.0,15.0,0,0,8,9.0,9,1,1,4,3,D,2,2,1,6,1,4,4,1,3,2,3,7.5,2.5,2.0,2.5,2.0,0.0,0.0,8.5,2.0,3,4,1,4,5,3,1,2.25,5,3,3.0,4,2,3,2,2.75,4,1,2,3,4,2.8,2,3,2,3,2,2,1,2,2.3333333,1.5,3.5,2,1,2,3,1,4,3,2,4,1,1,3,3,,5,4,1,2,0,2,2,,1,1307.0,1309.0,3340.0,2,6,1,9,2,1,2,2,5,4,1,4,2,1,1,2,7,2,1,2,3,1,0,1,0,5,5,3.0,6,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,0,0,1,2,1,1,1,2,1,2,1,1,1,1,1,3,1,1,0,2,1,1,9,0.89999998
R_100009abc1080,3004070,School_01,100,28.700001,1,3.0,17.0,0,0,5,7.0,7,0,0,5,1,E,3,1,4,10,10,4,1,2,4,2,1,6.5,0.0,2.0,1.5,1.5,0.0,0.0,7.5,2.5,3,2,4,3,3,3,5,3.5,1,3,5.0,1,5,4,2,3.0,1,2,2,2,3,2.0,1,2,3,5,3,4,4,3,2.6666667,4.0,4.0,2,4,2,4,3,2,2,4,3,1,1,1,2,,2,3,5,2,0,0,2,,0,1349.0,1660.0,,3,3,0,6,1,5,4,2,3,1,3,3,3,3,2,4,5,3,3,3,1,0,0,0,0,5,5,3.0,5,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,2,1,1,0,1,0,2,0,4,0,4,0,1,0,4,1,4,1,1,3,0.30000001
R_100010abc9896,3004070,School_01,100,5.0,1,2.0,16.0,1,1,5,,5,1,1,3,1,A,2,1,1,3,8,3,3,2,4,1,8,6.0,2.0,1.5,3.0,1.0,0.5,0.0,8.0,2.5,2,3,4,4,3,5,1,2.25,2,4,4.0,4,3,1,2,2.0,1,1,3,3,3,2.2,1,5,2,5,1,1,4,3,1.3333334,2.5,5.0,1,1,2,4,2,3,3,1,2,1,3,3,3,,3,4,2,4,0,3,5,,1,887.0,1498.0,2967.0,2,4,0,3,1,4,4,1,4,1,2,1,2,1,2,5,6,1,2,1,1,0,1,0,0,4,3,2.5,3,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,2,0,3,1,2,0,1,1,1,0,4,1,3,1,1,1,4,0,4,6,0.60000002
