user_id,conversation_id,step,message_id,message_type,is_student,message_text,msg_length,ts_created,date_created
10176918,vconv_10176918_1,Step 2 - Otro,vmsg_10176918_0001,student,1,me gusta la matematica,22,2026-04-25 08:06:41,
10176918,vconv_10176918_1,Step 5 - Otro,vmsg_10176918_0002,ai,0,Que materias te gustan mas?,27,2026-04-28 10:12:12,
10295811,vconv_10295811_1,Step 6 - Otro,vmsg_10295811_0001,student,1,no estoy seguro de mi futuro,28,2026-05-01 08:06:31,
10295811,vconv_10295811_1,Step 2 - Otro,vmsg_10295811_0002,ai,0,Has considerado opciones como ingenieria industrial?,52,2026-05-12 09:07:44,
10295811,vconv_10295811_1,Step 1 - Autoconocimiento,vmsg_10295811_0003,student,1,ayudame a decidir,17,2026-05-08 08:54:00,
10508297,vconv_10508297_1,Step 8 - Plan de accion,vmsg_10508297_0001,student,1,mi familia quiere que estudie medicina,38,2026-03-29 17:25:36,
10508297,vconv_10508297_1,Step 7 - Decision familiar,vmsg_10508297_0002,ai,0,"El arte tambien es una opcion: diseno grafico, arquitectura.",60,2026-03-25 11:50:45,
10508297,vconv_10508297_1,Step 6 - Otro,vmsg_10508297_0003,student,1,no se cuanto cuesta una carrera,31,2026-05-12 12:54:55,
10508297,vconv_10508297_2,Step 1 - Autoconocimiento,vmsg_10508297_0004,ai,0,La transicion a la universidad puede ser desafiante pero hay apoyo.,67,2026-04-08 18:33:46,
10508297,vconv_10508297_2,Step 7 - Decision familiar,vmsg_10508297_0005,student,1,no se que estudiar,18,2026-04-25 10:46:09,
10522580,vconv_10522580_1,Step 2 - Otro,vmsg_10522580_0001,student,1,me gusta la matematica,22,2026-04-06 10:27:24,
10522580,vconv_10522580_1,Step 6 - Otro,vmsg_10522580_0002,ai,0,Que materias te gustan mas?,27,2026-04-04 16:08:58,
10611217,vconv_10611217_1,Step 4 - Otro,vmsg_10611217_0001,student,1,no estoy seguro de mi futuro,28,2026-04-23 11:45:55,
10611217,vconv_10611217_1,Step 8 - Plan de accion,vmsg_10611217_0002,ai,0,Has considerado opciones como ingenieria industrial?,52,2026-04-13 17:35:00,
10611217,vconv_10611217_1,Step 4 - Otro,vmsg_10611217_0003,student,1,ayudame a decidir,17,2026-04-23 18:38:48,
10611217,vconv_10611217_2,Step 3 - Otro,vmsg_10611217_0004,ai,0,Pensaste en hablar con tu familia sobre tus opciones?,53,2026-04-24 19:59:14,
10611217,vconv_10611217_2,Step 2 - Otro,vmsg_10611217_0005,student,1,me gustan las artes,19,2026-03-30 17:07:44,
10611217,vconv_10611217_2,Step 3 - Otro,vmsg_10611217_0006,ai,0,Existen becas como Beca 18 que pueden ayudar.,45,2026-04-03 12:48:23,
10611217,vconv_10611217_3,Step 3 - Otro,vmsg_10611217_0007,student,1,tengo dudas sobre la universidad,32,2026-04-25 16:05:06,
10632252,vconv_10632252_1,Step 1 - Autoconocimiento,vmsg_10632252_0001,student,1,no se que estudiar,18,2026-03-28 13:16:57,
10632252,vconv_10632252_1,Step 5 - Otro,vmsg_10632252_0002,ai,0,"Las matematicas se usan en muchas carreras: ingenieria, economia, fisica.",73,2026-04-30 10:13:36,
10632252,vconv_10632252_1,Step 7 - Decision familiar,vmsg_10632252_0003,student,1,quiero ser ingeniero,20,2026-04-27 13:35:46,
10632252,vconv_10632252_2,Step 7 - Decision familiar,vmsg_10632252_0004,ai,0,Existen carreras tecnicas mas cortas que duran 3 anos.,54,2026-04-19 13:27:59,
10632252,vconv_10632252_2,Step 4 - Otro,vmsg_10632252_0005,student,1,que carreras hay?,17,2026-04-03 08:52:27,
10658482,vconv_10658482_1,Step 2 - Otro,vmsg_10658482_0001,student,1,ayudame a decidir,17,2026-05-11 17:48:02,
10658482,vconv_10658482_1,Step 7 - Decision familiar,vmsg_10658482_0002,ai,0,Pensaste en hablar con tu familia sobre tus opciones?,53,2026-04-01 13:02:17,
10658482,vconv_10658482_1,Step 3 - Otro,vmsg_10658482_0003,student,1,me gustan las artes,19,2026-05-04 18:30:07,
10658482,vconv_10658482_2,Step 1 - Autoconocimiento,vmsg_10658482_0004,ai,0,Existen becas como Beca 18 que pueden ayudar.,45,2026-04-28 09:21:58,
10658482,vconv_10658482_2,Step 8 - Plan de accion,vmsg_10658482_0005,student,1,tengo dudas sobre la universidad,32,2026-03-30 15:07:35,
10658482,vconv_10658482_2,Step 4 - Otro,vmsg_10658482_0006,ai,0,Cuentame cuales son tus intereses.,34,2026-05-10 11:30:31,
10658482,vconv_10658482_3,Step 1 - Autoconocimiento,vmsg_10658482_0007,student,1,me gusta la matematica,22,2026-05-09 09:28:34,
10664234,vconv_10664234_1,Step 6 - Otro,vmsg_10664234_0001,student,1,quiero ser ingeniero,20,2026-04-22 18:47:56,
10664234,vconv_10664234_1,Step 7 - Decision familiar,vmsg_10664234_0002,ai,0,Existen carreras tecnicas mas cortas que duran 3 anos.,54,2026-05-11 11:51:58,
10664234,vconv_10664234_1,Step 4 - Otro,vmsg_10664234_0003,student,1,que carreras hay?,17,2026-05-08 11:18:11,
10664234,vconv_10664234_2,Step 6 - Otro,vmsg_10664234_0004,ai,0,Es normal tener dudas. Vamos paso a paso.,41,2026-03-29 14:39:34,
10664234,vconv_10664234_2,Step 4 - Otro,vmsg_10664234_0005,student,1,mi familia quiere que estudie medicina,38,2026-04-09 10:08:45,
10722874,vconv_10722874_1,Step 1 - Autoconocimiento,vmsg_10722874_0001,student,1,me gustan las artes,19,2026-04-05 12:25:45,
10722874,vconv_10722874_1,Step 2 - Otro,vmsg_10722874_0002,ai,0,Existen becas como Beca 18 que pueden ayudar.,45,2026-05-10 10:31:32,
10722874,vconv_10722874_1,Step 7 - Decision familiar,vmsg_10722874_0003,student,1,tengo dudas sobre la universidad,32,2026-03-27 15:10:57,
10722874,vconv_10722874_2,Step 2 - Otro,vmsg_10722874_0004,ai,0,Cuentame cuales son tus intereses.,34,2026-04-22 10:27:40,
10722874,vconv_10722874_2,Step 1 - Autoconocimiento,vmsg_10722874_0005,student,1,me gusta la matematica,22,2026-05-08 18:48:12,
10767552,vconv_10767552_1,Step 6 - Otro,vmsg_10767552_0001,student,1,quiero ser ingeniero,20,2026-04-06 08:27:15,
10767552,vconv_10767552_1,Step 8 - Plan de accion,vmsg_10767552_0002,ai,0,Existen carreras tecnicas mas cortas que duran 3 anos.,54,2026-04-02 16:05:23,
10767552,vconv_10767552_1,Step 4 - Otro,vmsg_10767552_0003,student,1,que carreras hay?,17,2026-04-11 10:03:35,
10767552,vconv_10767552_2,Step 6 - Otro,vmsg_10767552_0004,ai,0,Es normal tener dudas. Vamos paso a paso.,41,2026-03-25 08:38:31,
10875238,vconv_10875238_1,Step 5 - Otro,vmsg_10875238_0001,student,1,mi familia quiere que estudie medicina,38,2026-04-27 18:00:05,
10875238,vconv_10875238_1,Step 1 - Autoconocimiento,vmsg_10875238_0002,ai,0,"El arte tambien es una opcion: diseno grafico, arquitectura.",60,2026-03-30 18:17:38,
10875238,vconv_10875238_1,Step 8 - Plan de accion,vmsg_10875238_0003,student,1,no se cuanto cuesta una carrera,31,2026-03-26 13:46:08,
10875238,vconv_10875238_2,Step 2 - Otro,vmsg_10875238_0004,ai,0,La transicion a la universidad puede ser desafiante pero hay apoyo.,67,2026-04-19 11:16:54,
10875238,vconv_10875238_2,Step 1 - Autoconocimiento,vmsg_10875238_0005,student,1,no se que estudiar,18,2026-04-29 17:57:07,
10875238,vconv_10875238_2,Step 7 - Decision familiar,vmsg_10875238_0006,ai,0,"Las matematicas se usan en muchas carreras: ingenieria, economia, fisica.",73,2026-04-01 16:29:48,
10875238,vconv_10875238_3,Step 4 - Otro,vmsg_10875238_0007,student,1,quiero ser ingeniero,20,2026-04-23 09:47:57,
10927250,vconv_10927250_1,Step 2 - Otro,vmsg_10927250_0001,student,1,no estoy seguro de mi futuro,28,2026-04-12 08:20:31,
10927250,vconv_10927250_1,Step 6 - Otro,vmsg_10927250_0002,ai,0,Has considerado opciones como ingenieria industrial?,52,2026-04-19 12:26:49,
10927250,vconv_10927250_1,Step 7 - Decision familiar,vmsg_10927250_0003,student,1,ayudame a decidir,17,2026-04-29 09:30:19,
10927250,vconv_10927250_2,Step 7 - Decision familiar,vmsg_10927250_0004,ai,0,Pensaste en hablar con tu familia sobre tus opciones?,53,2026-04-02 17:06:33,
10927250,vconv_10927250_2,Step 5 - Otro,vmsg_10927250_0005,student,1,me gustan las artes,19,2026-05-10 15:15:31,
11115821,vconv_11115821_1,Step 5 - Otro,vmsg_11115821_0001,student,1,no se cuanto cuesta una carrera,31,2026-04-27 12:49:53,
11115821,vconv_11115821_1,Step 8 - Plan de accion,vmsg_11115821_0002,ai,0,La transicion a la universidad puede ser desafiante pero hay apoyo.,67,2026-04-29 17:04:41,
11115821,vconv_11115821_1,Step 1 - Autoconocimiento,vmsg_11115821_0003,student,1,no se que estudiar,18,2026-05-10 10:38:05,
11115821,vconv_11115821_2,Step 3 - Otro,vmsg_11115821_0004,ai,0,"Las matematicas se usan en muchas carreras: ingenieria, economia, fisica.",73,2026-03-30 12:41:13,
11179800,vconv_11179800_1,Step 8 - Plan de accion,vmsg_11179800_0001,student,1,quiero ser ingeniero,20,2026-04-16 11:26:49,
11179800,vconv_11179800_1,Step 8 - Plan de accion,vmsg_11179800_0002,ai,0,Existen carreras tecnicas mas cortas que duran 3 anos.,54,2026-03-29 09:09:43,
11179800,vconv_11179800_1,Step 1 - Autoconocimiento,vmsg_11179800_0003,student,1,que carreras hay?,17,2026-04-05 18:32:45,
11179800,vconv_11179800_2,Step 1 - Autoconocimiento,vmsg_11179800_0004,ai,0,Es normal tener dudas. Vamos paso a paso.,41,2026-04-05 11:50:48,
11321263,vconv_11321263_1,Step 1 - Autoconocimiento,vmsg_11321263_0001,student,1,mi familia quiere que estudie medicina,38,2026-03-26 16:03:46,
11321263,vconv_11321263_1,Step 8 - Plan de accion,vmsg_11321263_0002,ai,0,"El arte tambien es una opcion: diseno grafico, arquitectura.",60,2026-04-23 16:23:21,
11334272,vconv_11334272_1,Step 7 - Decision familiar,vmsg_11334272_0001,student,1,no se cuanto cuesta una carrera,31,2026-03-25 10:34:17,
11334272,vconv_11334272_1,Step 2 - Otro,vmsg_11334272_0002,ai,0,La transicion a la universidad puede ser desafiante pero hay apoyo.,67,2026-05-10 16:12:19,
11334272,vconv_11334272_1,Step 7 - Decision familiar,vmsg_11334272_0003,student,1,no se que estudiar,18,2026-04-21 17:55:53,
11372154,vconv_11372154_1,Step 8 - Plan de accion,vmsg_11372154_0001,student,1,me gusta la matematica,22,2026-04-07 14:27:18,
