school_user_id,institution_id,journey_id,journey_status,current_step,completed_steps_count,total_sessions,total_minutes_spent,school_user_gender,completed_steps,started_at,journey_last_activity,completed_at,journey_created_at,journey_updated_at,step_1_thread_id,step_1_answers_count,step_1_has_data,step_2_status,step_2_answered_count,step_2_top_3_profiles,step_2_scores_activities,step_2_has_data,step_3_answers_count,step_3_has_data,step_4_score_universidad,step_4_score_tecnico,step_4_score_trabajo_estudio,step_4_suggested_route,step_4_has_data,step_5_favorites_count,step_5_completed,step_6_completed,step_7_thread_id,step_7_completed,step_7_has_summary,step_8_route_prioritized,step_8_question_set,step_8_plan_a_completed,step_8_immediate_steps_completed,step_8_immediate_route_mode,step_8_alt_plans_completed,step_8_cv_completed,step_8_future_letter_completed,step_8_completed,active_sessions,finished_sessions,step_1_sessions,step_1_first_start,step_1_last_end,step_1_minutes,step_2_sessions,step_2_first_start,step_2_last_end,step_2_minutes,step_3_sessions,step_3_first_start,step_3_last_end,step_3_minutes,step_4_sessions,step_4_first_start,step_4_last_end,step_4_minutes,step_5_sessions,step_5_first_start,step_5_last_end,step_5_minutes,step_6_sessions,step_6_first_start,step_6_last_end,step_6_minutes,step_7_sessions,step_7_first_start,step_7_last_end,step_7_minutes,step_8_sessions,step_8_first_start,step_8_last_end,step_8_minutes
51241874,udocz_1374321,j_51241874,completed,8,8,2,32,M,"[1,2,3,4,5,6,7,8]",2026-03-15 09:00:00,2026-04-20 15:30:00,2026-04-22 16:00:00,2026-03-15 09:00:00,2026-04-22 16:00:00,thr1_51241874,3,1,completed,32,RAS,{},1,6,1,19,5,52,trabajo_estudio,1,1,1,1,thr7_51241874,0,0,trabajo_estudio,set_A,0,0,universidad,0,0,1,0,0,2,0,2026-03-15 10:00:00,2026-04-20 14:00:00,10,2,2026-03-15 10:00:00,2026-04-20 14:00:00,10,3,2026-03-15 10:00:00,2026-04-20 14:00:00,8,3,2026-03-15 10:00:00,2026-04-20 14:00:00,27,3,2026-03-15 10:00:00,2026-04-20 14:00:00,14,2,2026-03-15 10:00:00,2026-04-20 14:00:00,3,3,2026-03-15 10:00:00,2026-04-20 14:00:00,7,2,2026-03-15 10:00:00,2026-04-20 14:00:00,13
27444833,udocz_1374321,j_27444833,completed,8,8,1,18,F,"[1,2,3,4,5,6,7,8]",2026-03-15 09:00:00,2026-04-20 15:30:00,2026-04-22 16:00:00,2026-03-15 09:00:00,2026-04-22 16:00:00,thr1_27444833,5,1,completed,48,ISC,{},1,6,1,73,59,37,universidad,1,6,1,1,thr7_27444833,1,1,universidad,set_B,1,0,universidad,1,0,0,0,0,1,3,2026-03-15 10:00:00,2026-04-20 14:00:00,7,0,2026-03-15 10:00:00,2026-04-20 14:00:00,2,0,2026-03-15 10:00:00,2026-04-20 14:00:00,16,1,2026-03-15 10:00:00,2026-04-20 14:00:00,2,0,2026-03-15 10:00:00,2026-04-20 14:00:00,18,1,2026-03-15 10:00:00,2026-04-20 14:00:00,22,2,2026-03-15 10:00:00,2026-04-20 14:00:00,8,3,2026-03-15 10:00:00,2026-04-20 14:00:00,4
36207035,udocz_1374321,j_36207035,active,4,3,6,25,M,"[1,2,3]",2026-03-15 09:00:00,2026-04-20 15:30:00,,2026-03-15 09:00:00,2026-04-22 16:00:00,thr1_36207035,0,0,completed,10,REC,{},1,3,1,61,82,13,tecnico,1,1,1,1,thr7_36207035,1,1,tecnico,set_A,1,0,universidad,0,0,0,0,0,6,2,2026-03-15 10:00:00,2026-04-20 14:00:00,12,0,2026-03-15 10:00:00,2026-04-20 14:00:00,28,3,2026-03-15 10:00:00,2026-04-20 14:00:00,25,2,2026-03-15 10:00:00,2026-04-20 14:00:00,18,0,2026-03-15 10:00:00,2026-04-20 14:00:00,29,2,2026-03-15 10:00:00,2026-04-20 14:00:00,6,1,2026-03-15 10:00:00,2026-04-20 14:00:00,8,3,2026-03-15 10:00:00,2026-04-20 14:00:00,9
83880217,udocz_1374321,j_83880217,active,5,4,6,16,F,[],2026-03-15 09:00:00,2026-04-20 15:30:00,,2026-03-15 09:00:00,2026-04-22 16:00:00,thr1_83880217,5,1,completed,27,AIE,{},1,3,1,41,6,71,trabajo_estudio,1,1,1,0,thr7_83880217,0,0,trabajo_estudio,set_A,1,0,universidad,0,1,1,0,0,6,2,2026-03-15 10:00:00,2026-04-20 14:00:00,26,0,2026-03-15 10:00:00,2026-04-20 14:00:00,6,2,2026-03-15 10:00:00,2026-04-20 14:00:00,2,0,2026-03-15 10:00:00,2026-04-20 14:00:00,9,3,2026-03-15 10:00:00,2026-04-20 14:00:00,8,1,2026-03-15 10:00:00,2026-04-20 14:00:00,1,3,2026-03-15 10:00:00,2026-04-20 14:00:00,15,3,2026-03-15 10:00:00,2026-04-20 14:00:00,7
31836604,udocz_1374321,j_31836604,completed,8,8,2,89,M,"[1,2,3,4,5,6,7,8]",2026-03-15 09:00:00,2026-04-20 15:30:00,2026-04-22 16:00:00,2026-03-15 09:00:00,2026-04-22 16:00:00,thr1_31836604,1,1,completed,2,SIA,{},1,4,1,16,5,70,trabajo_estudio,1,6,1,0,thr7_31836604,0,0,trabajo_estudio,set_A,0,0,universidad,1,1,1,0,0,2,0,2026-03-15 10:00:00,2026-04-20 14:00:00,19,2,2026-03-15 10:00:00,2026-04-20 14:00:00,3,2,2026-03-15 10:00:00,2026-04-20 14:00:00,9,3,2026-03-15 10:00:00,2026-04-20 14:00:00,26,0,2026-03-15 10:00:00,2026-04-20 14:00:00,29,2,2026-03-15 10:00:00,2026-04-20 14:00:00,8,2,2026-03-15 10:00:00,2026-04-20 14:00:00,10,1,2026-03-15 10:00:00,2026-04-20 14:00:00,23
61509632,udocz_1374321,j_61509632,abandoned,3,2,5,5,F,"[1,2]",2026-03-15 09:00:00,2026-04-20 15:30:00,,2026-03-15 09:00:00,2026-04-22 16:00:00,thr1_61509632,4,1,completed,4,ICR,{},1,3,1,93,10,51,universidad,1,3,1,1,thr7_61509632,1,1,universidad,set_A,1,0,universidad,0,1,0,0,0,5,2,2026-03-15 10:00:00,2026-04-20 14:00:00,23,2,2026-03-15 10:00:00,2026-04-20 14:00:00,8,1,2026-03-15 10:00:00,2026-04-20 14:00:00,17,0,2026-03-15 10:00:00,2026-04-20 14:00:00,10,0,2026-03-15 10:00:00,2026-04-20 14:00:00,25,1,2026-03-15 10:00:00,2026-04-20 14:00:00,27,3,2026-03-15 10:00:00,2026-04-20 14:00:00,13,1,2026-03-15 10:00:00,2026-04-20 14:00:00,28
21718102,udocz_1374321,j_21718102,completed,8,8,3,42,M,"[1,2,3,4,5,6,7,8]",2026-03-15 09:00:00,2026-04-20 15:30:00,2026-04-22 16:00:00,2026-03-15 09:00:00,2026-04-22 16:00:00,thr1_21718102,1,1,completed,36,ACE,{},1,5,1,94,42,16,universidad,1,2,1,1,thr7_21718102,0,0,universidad,set_A,0,0,universidad,0,0,1,0,0,3,3,2026-03-15 10:00:00,2026-04-20 14:00:00,26,1,2026-03-15 10:00:00,2026-04-20 14:00:00,15,3,2026-03-15 10:00:00,2026-04-20 14:00:00,7,2,2026-03-15 10:00:00,2026-04-20 14:00:00,12,2,2026-03-15 10:00:00,2026-04-20 14:00:00,18,3,2026-03-15 10:00:00,2026-04-20 14:00:00,3,1,2026-03-15 10:00:00,2026-04-20 14:00:00,17,2,2026-03-15 10:00:00,2026-04-20 14:00:00,0
89384002,udocz_1374321,j_89384002,completed,8,8,3,5,F,"[1,2,3,4,5,6,7,8]",2026-03-15 09:00:00,2026-04-20 15:30:00,2026-04-22 16:00:00,2026-03-15 09:00:00,2026-04-22 16:00:00,thr1_89384002,0,0,in_progress,35,ESI,{},1,8,1,35,2,43,trabajo_estudio,1,4,1,1,thr7_89384002,1,1,trabajo_estudio,set_A,1,0,universidad,0,0,1,0,0,3,3,2026-03-15 10:00:00,2026-04-20 14:00:00,22,0,2026-03-15 10:00:00,2026-04-20 14:00:00,21,0,2026-03-15 10:00:00,2026-04-20 14:00:00,23,1,2026-03-15 10:00:00,2026-04-20 14:00:00,27,0,2026-03-15 10:00:00,2026-04-20 14:00:00,26,0,2026-03-15 10:00:00,2026-04-20 14:00:00,17,3,2026-03-15 10:00:00,2026-04-20 14:00:00,12,0,2026-03-15 10:00:00,2026-04-20 14:00:00,25
79118766,udocz_1374321,j_79118766,completed,8,8,7,61,M,"[1,2,3,4,5,6,7,8]",2026-03-15 09:00:00,2026-04-20 15:30:00,2026-04-22 16:00:00,2026-03-15 09:00:00,2026-04-22 16:00:00,thr1_79118766,2,1,completed,43,RIA,{},1,2,1,40,56,65,trabajo_estudio,1,3,1,1,thr7_79118766,0,0,trabajo_estudio,set_A,1,0,universidad,1,0,1,0,0,7,0,2026-03-15 10:00:00,2026-04-20 14:00:00,12,2,2026-03-15 10:00:00,2026-04-20 14:00:00,26,0,2026-03-15 10:00:00,2026-04-20 14:00:00,2,0,2026-03-15 10:00:00,2026-04-20 14:00:00,0,2,2026-03-15 10:00:00,2026-04-20 14:00:00,28,0,2026-03-15 10:00:00,2026-04-20 14:00:00,1,1,2026-03-15 10:00:00,2026-04-20 14:00:00,17,3,2026-03-15 10:00:00,2026-04-20 14:00:00,24
33955119,udocz_1374321,j_33955119,active,1,0,3,60,M,[],2026-03-15 09:00:00,2026-04-20 15:30:00,,2026-03-15 09:00:00,2026-04-22 16:00:00,thr1_33955119,2,1,completed,1,RAS,{},1,0,0,11,84,36,tecnico,1,7,1,0,thr7_33955119,1,1,tecnico,set_A,0,1,universidad,0,0,1,0,0,3,3,2026-03-15 10:00:00,2026-04-20 14:00:00,17,2,2026-03-15 10:00:00,2026-04-20 14:00:00,18,0,2026-03-15 10:00:00,2026-04-20 14:00:00,17,1,2026-03-15 10:00:00,2026-04-20 14:00:00,11,3,2026-03-15 10:00:00,2026-04-20 14:00:00,17,1,2026-03-15 10:00:00,2026-04-20 14:00:00,18,3,2026-03-15 10:00:00,2026-04-20 14:00:00,2,2,2026-03-15 10:00:00,2026-04-20 14:00:00,13
